Date,RH,T_air,T_reflect,T_dry,T_low ,T_medium,T_high,T_wet,T_leaf
12:39:14 PM,36.10376829,23.08463691,23.55678,24.80653,22.38052,21.86126,21.37846,18.90033,21.100612
12:39:14 PM,36.1068638,23.08506284,23.57075,24.78923,22.36163,21.8385,21.35743,18.87756,21.084466
12:39:14 PM,36.1098215,23.08552187,23.61566,24.83049,22.40233,21.88244,21.40175,18.92149,21.128492
12:39:14 PM,36.11264111,23.08601308,23.60334,24.85179,22.41978,21.90082,21.42064,18.93927,21.139262
12:39:14 PM,36.11532233,23.08653553,23.54933,24.84428,22.40707,21.89327,21.40933,18.92396,21.133498
12:39:14 PM,36.11786231,23.08708788,23.55717,24.82342,22.39213,21.87672,21.38965,18.90397,21.114088
12:39:14 PM,36.12025066,23.08766756,23.55583,24.82447,22.39228,21.87303,21.38835,18.90404,21.119176
12:39:14 PM,36.12247559,23.08827177,23.53413,24.78807,22.36993,21.84662,21.36085,18.87389,21.08542
12:39:14 PM,36.12452529,23.08889771,23.59068,24.85504,22.42628,21.90702,21.43242,18.94583,21.150884
12:39:14 PM,36.12638796,23.08954258,23.5392,24.80256,22.37603,21.85655,21.37153,18.88284,21.092862
12:39:14 PM,36.12805181,23.09020359,23.54714,24.80489,22.37224,21.85917,21.36821,18.88508,21.0869
12:39:15 PM,36.12950504,23.09087793,23.62119,24.86692,22.44005,21.92177,21.42968,18.96363,21.153476
12:39:15 PM,36.13073584,23.09156281,23.59976,24.89237,22.46003,21.94092,21.45394,18.9888,21.171694
12:39:15 PM,36.13173243,23.09225541,23.57234,24.8253,22.40515,21.88138,21.40055,18.9374,21.125816
12:39:15 PM,36.132483,23.09295296,23.56849,24.83603,22.41208,21.88802,21.40221,18.93664,21.12578
12:39:15 PM,36.13297576,23.09365264,23.57891,24.84864,22.42059,21.89758,21.4186,18.94612,21.135314
12:39:15 PM,36.1331989,23.09435165,23.57961,24.80084,22.37574,21.85665,21.37886,18.89978,21.102308
12:39:15 PM,36.13314063,23.0950472,23.55158,24.79016,22.36484,21.84314,21.36696,18.89056,21.086102
12:39:15 PM,36.13278915,23.09573649,23.52172,24.77898,22.35326,21.83023,21.35761,18.87531,21.063412
12:39:15 PM,36.13213267,23.09641671,23.59903,24.83421,22.41073,21.89241,21.40543,18.93909,21.125346
12:39:16 PM,36.13115937,23.09708508,23.58195,24.84777,22.42513,21.89845,21.41804,18.94405,21.139702
12:39:16 PM,36.12985747,23.09773878,23.58538,24.8348,22.40505,21.87501,21.39639,18.92296,21.12309
12:39:16 PM,36.12821517,23.09837502,23.55221,24.81227,22.3818,21.85881,21.37758,18.89639,21.09748
12:39:16 PM,36.12622067,23.09899101,23.57288,24.82352,22.38777,21.86918,21.38668,18.89619,21.10582
12:39:16 PM,36.12386217,23.09958393,23.58184,24.86444,22.42789,21.91033,21.431,18.94874,21.14418
12:39:16 PM,36.12112786,23.100151,23.61359,24.8573,22.42782,21.90889,21.43021,18.95538,21.143836
12:39:16 PM,36.11800597,23.1006894,23.57351,24.85182,22.41944,21.9033,21.42724,18.95211,21.134112
12:39:16 PM,36.11448467,23.10119635,23.57891,24.86973,22.44199,21.91489,21.44145,18.97133,21.15129
12:39:16 PM,36.11055219,23.10166904,23.58839,24.82693,22.41166,21.87905,21.40478,18.93003,21.116944
12:39:16 PM,36.10619671,23.10210468,23.5731,24.85512,22.42897,21.90705,21.43379,18.95413,21.143244
12:39:16 PM,36.10140645,23.10250046,23.62166,24.88879,22.45092,21.92821,21.46531,18.99022,21.169766
12:39:17 PM,36.09616959,23.10285358,23.57218,24.81361,22.39013,21.86905,21.39951,18.90777,21.094922
12:39:17 PM,36.09047435,23.10316125,23.57728,24.8347,22.41137,21.88682,21.41911,18.93661,21.121382
12:39:17 PM,36.08430893,23.10342067,23.61831,24.88125,22.4563,21.92812,21.46778,18.99508,21.167022
12:39:17 PM,36.07766152,23.10362903,23.64578,24.89726,22.46857,21.94293,21.4842,19.00249,21.186728
12:39:17 PM,36.07052215,23.10378378,23.59096,24.84629,22.42052,21.90198,21.43127,18.94955,21.142262
12:39:17 PM,36.06290814,23.10388595,23.5894,24.84409,22.41767,21.88851,21.4323,18.94884,21.13348
12:39:17 PM,36.0548578,23.10393934,23.60754,24.82959,22.42016,21.88572,21.42385,18.93498,21.123284
12:39:17 PM,36.04640999,23.10394782,23.61017,24.83766,22.42328,21.89395,21.42761,18.93548,21.137376
12:39:17 PM,36.03760357,23.10391527,23.56626,24.84644,22.43292,21.90468,21.43413,18.94133,21.141062
12:39:17 PM,36.02847739,23.10384555,23.57427,24.82224,22.40763,21.88648,21.40777,18.91909,21.113904
12:39:18 PM,36.01907031,23.10374253,23.59567,24.85782,22.44462,21.91466,21.44505,18.95226,21.153662
12:39:18 PM,36.00942119,23.10361009,23.57929,24.8385,22.42796,21.89801,21.43196,18.9376,21.13315
12:39:18 PM,35.99956888,23.1034521,23.5797,24.86544,22.45808,21.92269,21.45463,18.97049,21.163964
12:39:18 PM,35.98955225,23.10327243,23.58058,24.8628,22.44376,21.92255,21.44942,18.9528,21.148998
12:39:18 PM,35.97941015,23.10307494,23.56056,24.84256,22.42166,21.89874,21.42742,18.93638,21.132974
12:39:18 PM,35.96918144,23.10286352,23.59881,24.85329,22.42424,21.9106,21.437,18.95324,21.142388
12:39:18 PM,35.95890498,23.10264203,23.55631,24.82378,22.40344,21.8785,21.40699,18.91371,21.10561
12:39:18 PM,35.94861961,23.10241434,23.59411,24.87221,22.43736,21.91545,21.4478,18.95046,21.14347
12:39:18 PM,35.93836421,23.10218433,23.59562,24.85831,22.4256,21.90504,21.43785,18.94422,21.13278
12:39:18 PM,35.92817763,23.10195585,23.6248,24.87922,22.43337,21.91769,21.44815,18.9512,21.154846
12:39:19 PM,35.91809872,23.1017328,23.60589,24.86922,22.43189,21.90938,21.44371,18.95039,21.146406
12:39:19 PM,35.90816635,23.10151903,23.59099,24.87116,22.43292,21.91002,21.43773,18.94376,21.141646
12:39:19 PM,35.89841937,23.10131842,23.56061,24.83499,22.39775,21.87074,21.39787,18.896,21.104944
12:39:19 PM,35.88889663,23.10113484,23.60087,24.85944,22.42349,21.89248,21.42327,18.92149,21.13093
12:39:19 PM,35.879637,23.10097216,23.58804,24.82765,22.40124,21.87616,21.4014,18.89655,21.107908
12:39:19 PM,35.87067934,23.10083425,23.56824,24.83727,22.40848,21.88331,21.40989,18.90245,21.11828
12:39:19 PM,35.86206249,23.10072498,23.57443,24.87241,22.44142,21.92114,21.44399,18.93473,21.153328
12:39:19 PM,35.85382533,23.10064822,23.56318,24.84832,22.42944,21.8965,21.4239,18.91154,21.13337
12:39:19 PM,35.84600669,23.10060785,23.56863,24.85177,22.41628,21.8939,21.41934,18.90115,21.122986
12:39:19 PM,35.83864545,23.10060774,23.59885,24.83733,22.40336,21.88556,21.40659,18.89024,21.108912
12:39:20 PM,35.83178047,23.10065175,23.57682,24.86002,22.4259,21.90261,21.43387,18.92218,21.137244
12:39:20 PM,35.82545059,23.10074375,23.60356,24.85727,22.43092,21.90281,21.4344,18.92703,21.142544
12:39:20 PM,35.81969467,23.10088763,23.60527,24.8684,22.43607,21.91389,21.42894,18.9264,21.152716
12:39:20 PM,35.81455158,23.10108725,23.60167,24.87229,22.43834,21.92042,21.43913,18.93356,21.158848
12:39:20 PM,35.81006015,23.10134647,23.60687,24.85921,22.42867,21.90947,21.43343,18.92379,21.141828
12:39:20 PM,35.80624436,23.10166743,23.63505,24.87739,22.4405,21.92449,21.4472,18.93364,21.150056
12:39:20 PM,35.80308394,23.10204705,23.5882,24.89711,22.44632,21.92865,21.46075,18.95896,21.165254
12:39:20 PM,35.80055047,23.10248131,23.59426,24.88742,22.44527,21.92189,21.4561,18.94925,21.161396
12:39:20 PM,35.7986155,23.10296618,23.58296,24.88094,22.44201,21.91692,21.45357,18.94727,21.14518
12:39:20 PM,35.79725061,23.10349763,23.57277,24.84162,22.40615,21.89301,21.42049,18.90951,21.112684
12:39:21 PM,35.79642735,23.10407164,23.55256,24.84354,22.39851,21.87907,21.41648,18.90667,21.106448
12:39:21 PM,35.7961173,23.10468418,23.57158,24.8608,22.42002,21.89218,21.43456,18.92418,21.125494
12:39:21 PM,35.79629203,23.10533121,23.55625,24.86485,22.42637,21.89213,21.44217,18.92639,21.130996
12:39:21 PM,35.79692309,23.10600873,23.54623,24.84204,22.40892,21.87857,21.42321,18.90745,21.115024
12:39:21 PM,35.79798205,23.10671269,23.56139,24.85496,22.41771,21.8893,21.43289,18.91889,21.1263
12:39:21 PM,35.79944049,23.10743907,23.57337,24.86889,22.43563,21.90511,21.44557,18.94267,21.140984
12:39:21 PM,35.80126997,23.10818384,23.60605,24.8968,22.45321,21.92981,21.46646,18.96202,21.159256
12:39:21 PM,35.80344204,23.10894298,23.57521,24.86301,22.4261,21.89318,21.43127,18.92269,21.125786
12:39:21 PM,35.80592829,23.10971245,23.55018,24.83487,22.39803,21.86745,21.40471,18.88847,21.097452
12:39:21 PM,35.80870028,23.11048824,23.58694,24.86477,22.42695,21.89619,21.43714,18.92352,21.127076
12:39:22 PM,35.81172956,23.11126631,23.5994,24.8495,22.42001,21.89153,21.42579,18.92321,21.123586
12:39:22 PM,35.81498772,23.11204264,23.58065,24.87072,22.42718,21.90412,21.43946,18.9397,21.128544
12:39:22 PM,35.81844631,23.1128132,23.65672,24.90834,22.47125,21.95288,21.48378,18.99139,21.187378
12:39:22 PM,35.8220769,23.11357396,23.63472,24.91152,22.4699,21.9467,21.48259,18.98585,21.177408
12:39:22 PM,35.82585106,23.1143209,23.61416,24.90646,22.46815,21.94431,21.48238,18.98011,21.176038
12:39:22 PM,35.82974035,23.11504998,23.62629,24.92008,22.48018,21.95432,21.49103,18.99201,21.18821
12:39:22 PM,35.83371634,23.11575718,23.62954,24.923,22.49245,21.96381,21.50484,19.00965,21.201364
12:39:22 PM,35.8377506,23.11643848,23.58376,24.85592,22.42471,21.89716,21.43858,18.93317,21.131002
12:39:22 PM,35.84181469,23.11708985,23.63686,24.93217,22.49108,21.96376,21.50375,19.01499,21.199552
12:39:22 PM,35.84588018,23.11770725,23.62347,24.88959,22.45723,21.93087,21.46709,18.97557,21.167076
12:39:23 PM,35.84991863,23.11828667,23.57957,24.87413,22.43435,21.91401,21.4428,18.95304,21.142972
12:39:23 PM,35.85390161,23.11882407,23.57564,24.85282,22.41982,21.89173,21.43211,18.93106,21.123814
12:39:23 PM,35.85780069,23.11931543,23.57819,24.84175,22.41609,21.88846,21.41988,18.92305,21.120832
12:39:23 PM,35.86158744,23.11975672,23.60557,24.83151,22.40778,21.87865,21.41054,18.91549,21.107902
12:39:23 PM,35.86523341,23.12014392,23.60762,24.87644,22.44769,21.93006,21.46136,18.96774,21.154856
12:39:23 PM,35.86871018,23.12047299,23.57727,24.84608,22.41276,21.89748,21.42681,18.92499,21.119282
12:39:23 PM,35.87198932,23.1207399,23.59992,24.90703,22.46086,21.94301,21.47392,18.97675,21.1611
